"bioma","alimentacao","status","populacao","exemplares","idade","tamanho","envergadura"
"106","Cerrado","Hematofago","EW",318.175111760703,98,16,321,244
"107","Cerrado","Onivoro","CE",307.404313818676,96,2,33,219
"108","Cerrado","Onivoro","LC",299.340886792313,19,3,101,254
"109","Mata Atlântica","Onivoro","EW",303.86389318286,27,12,444,219
"110","Amazônia","Frugivoro","VU",317.751283643459,75,5,412,233
"111","Pantanal","Onivoro","CE",307.816594609191,61,4,352,256
"112","Mata Atlântica","Frugivoro","NT",305.344453514921,86,4,43,285
"113","Pampa","Hematofago","EW",300.189432634623,2,13,228,233
"114","Amazônia","Onivoro","EN",277.349389731327,39,1,25,219
"115","Amazônia","Hematofago","EN",315.372728819814,38,11,47,277
"116","Mata Atlântica","Hematofago","EX",320.193833783777,92,17,418,273
"117","Cerrado","Carnivoro","EN",288.066855012018,97,2,107,228
"118","Caatinga","Frugivoro","EX",307.306022049148,45,19,341,268
"119","Pampa","Hematofago","VU",311.153487093981,71,15,352,214
"120","Pantanal","Frugivoro","VU",308.449076219023,15,17,101,276
"121","Cerrado","Carnivoro","CE",311.234930167429,39,15,305,297
"122","Pantanal","Hematofago","EN",301.845706759598,83,9,163,208
"123","Caatinga","Carnivoro","NT",290.029034831659,45,6,81,275
"124","Mata Atlântica","Hematofago","VU",322.200931156658,72,17,159,271
"125","Pampa","Onivoro","EW",273.776236910571,43,18,298,252
"126","Pampa","Onivoro","CE",291.409084843077,27,1,281,284
"127","Cerrado","Frugivoro","EW",335.604691316956,75,19,431,290
"128","Pantanal","Frugivoro","CE",279.131031945477,21,12,151,286
"129","Cerrado","Carnivoro","NT",334.594253661927,20,11,299,233
"130","Mata Atlântica","Carnivoro","EN",297.417201812509,87,13,324,263
"131","Amazônia","Carnivoro","NT",310.286907737584,59,16,19,248
"132","Mata Atlântica","Onivoro","CE",261.169645303821,75,20,460,299
"133","Mata Atlântica","Onivoro","VU",321.949977821809,3,19,251,205
"134","Caatinga","Frugivoro","LC",332.851148204545,83,6,170,274
"135","Pantanal","Onivoro","EN",279.045703444616,61,3,217,231
"136","Pampa","Frugivoro","NT",277.873490246505,16,9,334,288
"137","Amazônia","Carnivoro","EW",280.762413917025,34,8,111,262
"138","Mata Atlântica","Onivoro","VU",292.456116877539,21,17,417,210
"139","Amazônia","Carnivoro","EW",309.250908891322,82,10,31,300
"140","Amazônia","Frugivoro","EW",308.696718388669,50,7,191,227
"141","Caatinga","Onivoro","EW",288.408318391297,2,4,26,263
"142","Cerrado","Onivoro","LC",277.491871815553,77,4,253,230
"143","Pantanal","Hematofago","EX",315.856100616172,57,13,438,297
"144","Caatinga","Onivoro","LC",272.750677325213,25,17,276,225
"145","Mata Atlântica","Frugivoro","EW",306.403051937296,24,6,128,266
"146","Cerrado","Onivoro","EX",301.222000291816,23,8,241,289
"147","Amazônia","Onivoro","EW",310.840063241975,17,19,382,239
"148","Caatinga","Frugivoro","EW",289.759451253588,40,7,431,286
"149","Pantanal","Onivoro","NT",294.14633714326,58,1,429,225
"150","Amazônia","Onivoro","VU",298.561095092827,84,16,20,226
"151","Caatinga","Carnivoro","EN",303.061451595505,65,8,438,205
"152","Caatinga","Hematofago","VU",329.243876493932,60,19,185,296
"153","Cerrado","Frugivoro","EW",306.479754791232,41,20,8,250
"154","Caatinga","Frugivoro","EX",297.99443326647,58,14,79,218
"155","Pantanal","Onivoro","CE",315.145498996945,9,17,33,207
"156","Pampa","Frugivoro","EW",252.355108070577,57,15,28,213
"157","Amazônia","Onivoro","CE",298.608237981631,11,10,148,280
"158","Caatinga","Frugivoro","VU",294.621615530959,59,3,201,230
"159","Mata Atlântica","Carnivoro","CE",296.801227598889,93,7,228,230
"160","Pampa","Onivoro","LC",343.637296549376,1,18,227,208
"161","Cerrado","Carnivoro","LC",355.61723135769,26,17,489,231
"162","Mata Atlântica","Frugivoro","EW",289.821113667638,3,18,314,213
"163","Amazônia","Onivoro","EW",289.886334806076,85,19,7,203
"164","Mata Atlântica","Frugivoro","NT",296.167367922155,81,7,496,279
"165","Pampa","Frugivoro","EN",343.881781914637,16,7,468,261
"166","Pampa","Frugivoro","EN",307.227083925951,13,12,242,216
"167","Mata Atlântica","Hematofago","EN",282.784431474234,65,13,340,262
"168","Cerrado","Hematofago","EX",243.336542385323,43,7,410,239
"169","Pantanal","Frugivoro","LC",327.449657778985,16,2,394,297
"170","Cerrado","Hematofago","VU",311.743866643689,79,19,384,241
"171","Pampa","Frugivoro","EX",293.086468102776,40,8,6,254
"172","Cerrado","Onivoro","VU",277.379346375505,9,20,165,297
"173","Amazônia","Onivoro","EN",319.922710056649,81,1,59,214
"174","Amazônia","Frugivoro","EN",267.505222970702,33,15,386,211
"175","Mata Atlântica","Frugivoro","EW",316.763118326973,91,11,325,241
"176","Caatinga","Onivoro","EN",313.136561573025,2,5,431,243
"177","Caatinga","Hematofago","EN",295.542014320607,37,6,15,287
"178","Pantanal","Carnivoro","LC",302.051503656374,3,14,40,209
"179","Caatinga","Onivoro","NT",291.435763997101,49,4,289,288
"180","Pantanal","Frugivoro","EX",286.745700867065,92,2,311,263
"181","Caatinga","Onivoro","LC",292.863014876315,71,11,96,266
"182","Mata Atlântica","Onivoro","LC",312.090267562365,32,12,221,256
"183","Cerrado","Frugivoro","EX",299.841783815632,15,6,261,261
"184","Pantanal","Carnivoro","EX",297.192219753231,33,9,32,225
"185","Cerrado","Onivoro","NT",328.386176434484,44,7,217,297
"186","Amazônia","Frugivoro","EW",304.318128805468,65,1,367,282
"187","Pampa","Carnivoro","LC",311.555864680422,47,6,351,255
"188","Mata Atlântica","Frugivoro","CE",321.250778800865,9,16,77,270
"189","Pantanal","Carnivoro","LC",320.175952159078,64,18,380,296
"190","Caatinga","Frugivoro","NT",292.929940201758,38,16,346,257
"191","Cerrado","Onivoro","VU",286.244525407353,47,9,436,250
"192","Caatinga","Carnivoro","EW",289.496007764364,29,11,67,280
"193","Pampa","Frugivoro","NT",290.450213355053,92,14,76,250
"194","Mata Atlântica","Hematofago","NT",274.183976789719,25,11,38,219
"195","Caatinga","Onivoro","LC",296.126091202834,23,19,374,285
"196","Pantanal","Onivoro","EN",307.888341302413,82,4,96,243
"197","Caatinga","Onivoro","LC",267.961177156476,75,2,481,263
"198","Mata Atlântica","Carnivoro","EW",270.691737329916,46,8,369,283
"199","Amazônia","Onivoro","CE",304.987966736589,83,20,7,258
"200","Cerrado","Hematofago","NT",321.855665753634,20,12,249,275
"201","Amazônia","Onivoro","NT",288.780476640433,79,14,90,269
"202","Amazônia","Carnivoro","EX",307.505860600124,89,16,312,293
"203","Cerrado","Onivoro","EN",300.030506954636,8,14,408,252
"204","Cerrado","Frugivoro","LC",287.851224377994,43,14,292,289
"205","Pampa","Onivoro","LC",302.325830174214,86,11,137,229
"206","Caatinga","Frugivoro","LC",276.584217798005,57,5,318,245
"207","Pampa","Carnivoro","NT",273.218825177442,74,19,44,212
"208","Mata Atlântica","Frugivoro","NT",253.573828487467,87,13,374,285
"209","Pampa","Carnivoro","NT",289.374299330123,56,7,69,300
"210","Pampa","Frugivoro","EW",280.200675920064,57,1,452,295
"211","Amazônia","Onivoro","CE",327.531727885284,91,11,109,252
"212","Cerrado","Onivoro","EX",303.621586007737,39,6,416,216
"213","Pampa","Onivoro","NT",315.493120407828,2,3,200,213
"214","Pampa","Frugivoro","CE",270.381239250873,49,18,214,286
"215","Cerrado","Onivoro","CE",295.683516626528,2,15,498,299
"216","Caatinga","Onivoro","VU",295.129046837887,97,19,145,288
"217","Pantanal","Frugivoro","NT",276.537611176506,93,14,122,203
"218","Caatinga","Carnivoro","CE",309.666563723626,47,14,486,242
"219","Amazônia","Onivoro","VU",300.080198474144,36,19,214,230
"220","Cerrado","Frugivoro","CE",311.176325505199,26,3,159,235
"221","Mata Atlântica","Hematofago","EX",327.295664454644,35,6,292,261
"222","Mata Atlântica","Frugivoro","CE",257.431138522322,11,1,284,262
"223","Mata Atlântica","Carnivoro","EX",288.631085589401,51,1,322,255
"224","Pampa","Carnivoro","VU",290.17710483963,44,11,90,229
"225","Amazônia","Hematofago","NT",298.575016567528,89,2,377,286
"226","Caatinga","Onivoro","EW",310.313387965141,41,8,218,266
"227","Mata Atlântica","Onivoro","VU",288.1149101946,24,6,2,209
"228","Pampa","Hematofago","CE",293.399488000679,92,13,425,296
"229","Pantanal","Hematofago","NT",256.413320155767,85,15,39,213
"230","Pantanal","Carnivoro","NT",281.766239462706,30,4,48,286
"231","Caatinga","Frugivoro","NT",310.395447718987,64,6,284,287
"232","Pantanal","Onivoro","VU",315.352460180668,62,1,360,204
"233","Amazônia","Frugivoro","NT",265.034393564833,21,10,31,255
"234","Pampa","Onivoro","NT",341.129828310903,53,19,247,243
"235","Mata Atlântica","Frugivoro","EW",285.743489664149,46,3,273,200
"236","Pantanal","Carnivoro","NT",318.859960011296,30,6,180,279
"237","Amazônia","Carnivoro","EW",241.24813860358,56,5,74,231
"238","Caatinga","Frugivoro","EX",275.189488444185,60,13,304,284
"239","Mata Atlântica","Hematofago","CE",289.151298800632,67,7,470,291
"240","Mata Atlântica","Hematofago","EX",304.821874810726,51,13,101,296
"241","Amazônia","Frugivoro","VU",301.59925590835,71,10,55,217
"242","Pantanal","Carnivoro","VU",265.20231292904,34,9,435,286
"243","Mata Atlântica","Frugivoro","EW",294.435058244657,15,6,246,235
"244","Amazônia","Frugivoro","LC",332.236790126107,36,16,330,286
"245","Pampa","Onivoro","CE",310.005103559756,72,19,326,296
"246","Mata Atlântica","Carnivoro","CE",316.169283324086,42,9,86,300
"247","Pampa","Carnivoro","LC",300.595513782918,94,1,472,246
"248","Pantanal","Frugivoro","EW",291.883172981144,68,11,108,238
"249","Cerrado","Frugivoro","LC",280.973400726811,30,18,189,236
"250","Cerrado","Onivoro","EN",312.894568281091,90,20,158,297
"251","Amazônia","Hematofago","NT",304.485461469449,75,2,366,231
"252","Cerrado","Carnivoro","CE",318.082450742853,40,6,471,285
"253","Pantanal","Carnivoro","NT",315.165455860182,65,18,272,244
"254","Pampa","Onivoro","VU",310.194449526349,16,8,87,300
"255","Pampa","Carnivoro","EX",294.263417685067,52,1,76,264
"256","Cerrado","Onivoro","VU",302.272997950146,50,8,155,208
"257","Amazônia","Frugivoro","VU",299.963348701046,59,15,285,286
"258","Pampa","Onivoro","CE",300.543586607382,3,7,226,277
"259","Caatinga","Onivoro","CE",271.886494460982,98,2,204,280
"260","Pantanal","Carnivoro","EN",302.726057149928,17,19,485,241
"261","Pantanal","Frugivoro","EW",298.605421482184,93,6,491,208
"262","Mata Atlântica","Onivoro","LC",308.766328577683,64,20,37,234
"263","Pantanal","Frugivoro","CE",288.916688994983,96,11,34,266
"264","Caatinga","Onivoro","EX",281.690094569061,15,2,475,299
"265","Amazônia","Frugivoro","LC",303.304074709693,71,3,368,202
"266","Amazônia","Frugivoro","LC",283.162416370398,15,2,335,283
"267","Caatinga","Onivoro","NT",289.597156153346,10,3,222,277
"268","Amazônia","Onivoro","LC",306.313110880795,11,14,100,214
"269","Pampa","Carnivoro","EX",285.0803273736,31,17,492,238
"270","Cerrado","Onivoro","EW",278.398261208981,46,6,257,261
"271","Mata Atlântica","Hematofago","LC",293.436872795455,100,17,362,277
"272","Caatinga","Onivoro","EX",299.444981372525,19,1,487,204
"273","Amazônia","Carnivoro","EW",282.091782173981,71,2,204,229
"274","Amazônia","Frugivoro","EN",301.206217759112,22,20,4,276
"275","Amazônia","Carnivoro","CE",311.141903812579,67,14,321,242
"276","Cerrado","Frugivoro","LC",273.475886096274,50,4,51,279
"277","Mata Atlântica","Onivoro","EN",326.964732418043,65,10,373,263
"278","Mata Atlântica","Hematofago","LC",278.991222275163,72,7,38,281
"279","Caatinga","Carnivoro","NT",293.458239906151,31,20,266,216
"280","Pantanal","Onivoro","EW",293.584979757052,1,19,474,236
"281","Pantanal","Onivoro","VU",299.102892373864,32,9,59,221
"282","Mata Atlântica","Onivoro","LC",299.327075383317,59,14,283,209
"283","Caatinga","Onivoro","EW",262.614208409842,70,20,11,272
"284","Amazônia","Carnivoro","EX",333.39679772111,7,9,288,203
"285","Caatinga","Carnivoro","EX",316.129269759688,11,11,187,251
"286","Amazônia","Carnivoro","CE",317.81732640627,68,14,363,206
"287","Amazônia","Onivoro","CE",246.631736342595,72,4,86,227
"288","Pampa","Frugivoro","EW",305.002808511263,49,6,440,224
"289","Caatinga","Hematofago","EW",252.351544526363,96,11,431,275
"290","Pampa","Onivoro","EX",304.005272175963,31,17,471,279
"291","Caatinga","Frugivoro","EN",306.037886554172,90,18,181,297
"292","Pantanal","Carnivoro","EW",295.704191290381,69,12,456,207
"293","Caatinga","Carnivoro","LC",311.819683468404,1,19,303,240
"294","Pampa","Onivoro","LC",340.716193279818,46,7,140,277
"295","Pantanal","Frugivoro","CE",291.875721590249,10,6,97,225
"296","Amazônia","Onivoro","EX",306.710693402696,98,3,423,242
"297","Pantanal","Frugivoro","LC",282.570334839802,64,13,200,224
"298","Mata Atlântica","Frugivoro","NT",288.327731443858,64,17,440,206
"299","Pantanal","Carnivoro","NT",310.479260996255,33,10,251,268
"300","Mata Atlântica","Onivoro","NT",328.114909422639,7,7,449,206
"301","Pampa","Onivoro","VU",248.91450739955,60,11,398,205
"302","Cerrado","Frugivoro","EX",287.44461650592,19,1,476,207
"303","Amazônia","Carnivoro","NT",293.855269645736,33,16,155,234
"304","Cerrado","Carnivoro","EX",307.721025355734,79,8,194,278
"305","Pampa","Onivoro","VU",316.95748911686,23,16,141,268
"306","Amazônia","Hematofago","EW",276.824682973442,74,1,487,231
"307","Amazônia","Frugivoro","VU",297.461950957433,72,5,51,295
"308","Pantanal","Frugivoro","EX",309.609124907194,30,19,457,220
"309","Pantanal","Hematofago","VU",323.04828778757,55,10,278,206
"310","Cerrado","Carnivoro","VU",310.203514921793,54,7,185,211
"311","Mata Atlântica","Hematofago","EW",303.146063829905,7,14,326,235
"312","Amazônia","Onivoro","EW",287.161749363759,9,5,168,216
"313","Pantanal","Frugivoro","EW",284.037258985451,64,12,430,261
"314","Amazônia","Carnivoro","NT",304.764285587343,76,16,69,222
"315","Caatinga","Frugivoro","EX",310.571976934046,82,19,1,236
"316","Pantanal","Carnivoro","LC",276.473429840105,90,20,485,259
"317","Caatinga","Frugivoro","NT",282.421454068094,41,13,265,228
"318","Amazônia","Onivoro","VU",313.121336295963,72,7,86,225
"319","Amazônia","Frugivoro","EX",280.7253058933,3,14,438,283
"320","Pampa","Frugivoro","EW",301.6793043502,4,3,298,218
"321","Cerrado","Hematofago","EX",314.780748329801,39,16,425,215
"322","Pampa","Carnivoro","EX",329.237429391132,16,11,19,289
"323","Pampa","Hematofago","EN",321.794625542914,19,7,328,201
"324","Pampa","Onivoro","CE",324.15848808422,38,8,154,206
"325","Pantanal","Frugivoro","NT",310.8438892279,75,11,70,282
"326","Pampa","Onivoro","CE",312.454868147764,89,20,236,282
"327","Amazônia","Onivoro","VU",275.862982721854,28,9,227,279
"328","Mata Atlântica","Onivoro","CE",288.637691077581,85,1,367,252
"329","Pantanal","Frugivoro","EX",322.123657837633,61,14,1,230
"330","Pampa","Onivoro","EN",294.058315333066,68,7,129,295
"331","Pampa","Carnivoro","EX",294.124807132487,15,18,205,257
"332","Pampa","Frugivoro","CE",327.428377745157,90,5,65,267
"333","Mata Atlântica","Carnivoro","EX",287.256119640709,12,3,483,216
"334","Pantanal","Frugivoro","VU",307.128700106776,40,9,476,211
"335","Mata Atlântica","Onivoro","EX",291.835076140148,79,1,110,267
"336","Mata Atlântica","Frugivoro","EN",294.049198241593,13,18,409,274
"337","Amazônia","Onivoro","EX",274.771432966985,49,2,48,224
"338","Pantanal","Carnivoro","LC",306.105760106989,10,10,262,210
"339","Pampa","Onivoro","EW",242.364134831827,54,15,327,289
"340","Pantanal","Carnivoro","EW",285.176214588575,71,11,411,263
"341","Cerrado","Carnivoro","EW",309.088302229548,68,9,298,286
"342","Caatinga","Carnivoro","EX",310.513161060678,65,10,475,213
"343","Mata Atlântica","Frugivoro","LC",307.947350043447,48,18,72,249
"344","Pantanal","Onivoro","LC",306.823610151422,24,20,486,203
"345","Cerrado","Onivoro","EX",280.038026405875,84,16,192,295
"346","Cerrado","Frugivoro","CE",285.490414566416,13,16,343,266
"347","Caatinga","Frugivoro","VU",305.146767726141,21,13,198,245
"348","Pampa","Onivoro","NT",295.734260545043,20,3,456,280
"349","Pampa","Onivoro","EW",327.14945525517,94,10,295,296
"350","Mata Atlântica","Frugivoro","EX",305.409918646503,48,14,370,259
"351","Mata Atlântica","Onivoro","CE",286.40609149999,70,12,290,280
"352","Caatinga","Carnivoro","CE",314.280579821467,55,3,419,246
"353","Caatinga","Frugivoro","VU",259.539855223078,21,5,464,248
"354","Mata Atlântica","Frugivoro","EW",334.954224423054,3,14,76,237
"355","Amazônia","Onivoro","EW",266.9634461562,74,9,346,244
"356","Pampa","Onivoro","NT",273.530322010823,17,4,193,254
"357","Cerrado","Hematofago","VU",278.234998725173,44,12,359,205
"358","Pampa","Onivoro","EN",294.279517086087,37,8,195,277
"359","Pampa","Carnivoro","NT",313.794441280672,39,9,44,270
"360","Pampa","Onivoro","LC",315.398380118581,21,17,70,214
"361","Cerrado","Frugivoro","EW",314.960355038577,84,17,11,204
"362","Cerrado","Onivoro","VU",321.113341075936,72,3,117,260
"363","Pampa","Onivoro","EW",297.563149677875,20,19,29,290
"364","Pantanal","Carnivoro","LC",310.386604555758,24,18,203,211
"365","Amazônia","Hematofago","NT",305.418686753452,39,18,424,272
"366","Pantanal","Onivoro","LC",327.259553514261,91,8,218,216
"367","Pantanal","Carnivoro","NT",280.672583343807,59,17,166,202
"368","Pantanal","Hematofago","EW",260.730477109189,99,9,264,274
"369","Cerrado","Carnivoro","VU",286.39590495703,43,1,102,251
"370","Mata Atlântica","Onivoro","EN",310.320733406047,58,4,66,218
"371","Pampa","Hematofago","CE",300.291734408341,26,16,168,238
"372","Pantanal","Frugivoro","LC",297.338480010647,28,19,3,228
"373","Pampa","Frugivoro","EX",299.048986897881,29,12,241,210
"374","Caatinga","Frugivoro","NT",275.974094216959,11,20,93,280
"375","Mata Atlântica","Onivoro","NT",295.857188901507,34,14,400,241
"376","Mata Atlântica","Onivoro","EN",313.559604892305,37,19,388,252
"377","Mata Atlântica","Frugivoro","NT",263.252852739826,27,8,371,297
"378","Pantanal","Onivoro","VU",308.146982933676,50,1,496,285
"379","Amazônia","Onivoro","VU",311.397771912407,64,5,117,211
"380","Pantanal","Carnivoro","VU",323.4156877207,47,8,262,288
"381","Pampa","Onivoro","NT",297.765452657975,86,12,308,257
"382","Pampa","Frugivoro","LC",308.079550366985,54,19,433,286
"383","Caatinga","Carnivoro","CE",308.075836278495,7,3,200,244
"384","Caatinga","Onivoro","LC",305.132841585591,64,2,401,281
"385","Caatinga","Carnivoro","VU",288.842732689801,85,4,126,288
"386","Caatinga","Frugivoro","EN",300.970876055228,41,1,226,294
"387","Amazônia","Onivoro","EN",315.67410055782,52,3,247,225
"388","Amazônia","Frugivoro","EX",312.119496726662,82,7,295,217
"389","Amazônia","Onivoro","LC",316.62565960068,17,7,214,266
"390","Amazônia","Frugivoro","LC",286.992233808969,58,6,198,250
"391","Pantanal","Carnivoro","EW",296.338329334744,39,3,141,299
"392","Caatinga","Onivoro","EN",281.017813452864,43,20,357,249
"393","Mata Atlântica","Frugivoro","EW",298.247235752451,86,19,206,270
"394","Pampa","Frugivoro","LC",271.244617135488,35,20,419,217
"395","Cerrado","Onivoro","LC",306.279602874115,49,12,157,241
"396","Amazônia","Carnivoro","EN",286.000043966289,36,6,24,300
"397","Pampa","Carnivoro","VU",292.055245607992,93,10,76,226
"398","Mata Atlântica","Frugivoro","VU",286.961515780504,25,17,314,204
"399","Pantanal","Carnivoro","LC",283.924046711049,61,12,268,202
"400","Cerrado","Carnivoro","EN",288.026377674251,15,6,239,280
"401","Caatinga","Frugivoro","EN",313.34958656599,98,1,296,281
"402","Amazônia","Onivoro","EW",326.181381712321,99,17,432,264
"403","Amazônia","Hematofago","VU",301.167305689999,9,6,120,205
"404","Amazônia","Frugivoro","LC",302.809234573153,58,12,424,240
"405","Mata Atlântica","Hematofago","EN",298.63274774093,63,9,316,236
"406","Mata Atlântica","Carnivoro","VU",297.783538122122,78,9,147,202
"407","Cerrado","Carnivoro","EN",264.906345498696,32,4,227,277
"408","Pampa","Frugivoro","EW",302.012105684216,97,4,343,236
"409","Pampa","Frugivoro","VU",305.913739080911,30,19,121,204
"410","Mata Atlântica","Onivoro","EN",309.879400085827,18,8,151,260
"411","Caatinga","Onivoro","LC",296.698072737195,87,2,251,259
